Mathematiques Fondamentales;11;13.5;14;13
Outils Mathematiques;7;8;;12
Electrocinetique;6;8;;
Thermodynamique;10;13;;
Informatique;19;17;;
Signaux et Systemes;15;12;;
Systemes Mecaniques et Automatiques;4;4.5;7;
Francais;14.5;8.5;;
Option Espagnol;17;14;16;19
